total_timesteps,policy_loss,ent_coef,qf1_loss,mean_rew,qf2_loss,current_lr,success_rate,value_loss,entropy,episodes,ent_coef_loss
999082,-1.9000667,0.0008551389,0.0075235465,7879.5,0.00713036,0.0003,1.0,0.00048465322,3.4344413,60272,-0.76171196
999139,-1.9956639,0.0008555235,0.0035857959,7978.2,0.0038228459,0.0003,1.0,0.00023085704,3.8595772,60276,-3.3659134
999227,-1.8516511,0.0008529728,0.0059624673,7933.5,0.005993563,0.0003,1.0,0.0005662926,3.4475036,60280,1.4678338
999279,-1.9246888,0.0008454463,0.0032652726,7936.8,0.0029140373,0.0003,1.0,0.0005629326,3.7164216,60284,-3.65101
999356,-1.4415127,0.00084237475,0.009117462,7946.2,0.007774052,0.0003,1.0,0.0006492177,3.44978,60288,2.3074927
999422,-1.9812764,0.0008444688,0.003532041,7935.5,0.0034957053,0.0003,1.0,0.00061240676,3.7980325,60292,0.8153589
999473,-1.9841461,0.00085010246,0.0029591762,7936.4,0.0033097186,0.0003,1.0,0.0002902481,3.2228956,60296,-0.3225478
999530,-1.9474112,0.0008550973,0.0043236753,7935.5,0.0042408076,0.0003,1.0,0.00024029048,3.4397404,60300,1.4731693
999589,-1.9589128,0.0008570992,0.003867833,7918.0,0.003860809,0.0003,1.0,0.0003542711,3.3004177,60304,-4.7331643
999640,-1.9161329,0.00085585436,0.0025164175,7919.8,0.005114171,0.0003,1.0,0.00032499374,3.7051039,60308,-2.2979765
999697,-1.8024676,0.0008546188,0.008454018,7914.7,0.009249796,0.0003,1.0,0.0006847568,3.4328632,60312,-1.5002527
999759,-1.8810725,0.00085055333,0.01783749,7897.7,0.010396514,0.0003,1.0,0.0003713706,3.5742185,60316,1.1231331
999810,-2.070832,0.00085170753,0.003037522,7911.4,0.002690082,0.0003,1.0,0.00041250902,3.6291523,60320,-1.3309402
999861,-1.9656277,0.0008495505,0.004470955,7919.3,0.0044790814,0.0003,1.0,0.00064126775,3.5518079,60324,0.46461415
999914,-1.7695042,0.00084519637,0.010321085,7917.4,0.0124889035,0.0003,1.0,0.00084711384,3.5702305,60328,-0.9018997
999971,-1.8898573,0.0008402601,0.005500444,7929.3,0.003954381,0.0003,1.0,0.0006725254,3.5808983,60332,1.2365774
1000027,-1.8746841,0.0008418186,0.0032019522,7944.5,0.0027234205,0.0003,1.0,0.00039912996,3.3176465,60336,0.96889913
1000080,-1.9114783,0.00084267603,0.010126356,7944.4,0.011291252,0.0003,1.0,0.0005381448,3.623173,60340,1.4511487
1000157,-1.8524841,0.00084678456,0.006690038,7902.8,0.0067568524,0.0003,1.0,0.00045168112,3.5527575,60344,5.148273
1000222,-1.9927096,0.0008474126,0.003453885,7884.2,0.0035435674,0.0003,1.0,0.00038886568,3.4984746,60348,-3.25584
1000279,-1.6052338,0.000838739,0.005182303,7883.0,0.005091319,0.0003,1.0,0.0013376838,3.6592455,60352,5.506679
1000331,-1.885918,0.0008319019,0.0069792075,7886.9,0.008277623,0.0003,1.0,0.0010871994,3.487041,60356,-3.468742
1000388,-2.0154083,0.0008306969,0.00660723,7907.8,0.0073233834,0.0003,1.0,0.00086649926,3.7561333,60360,-2.5747824
1000450,-1.8958035,0.00083048624,0.0038094996,7912.0,0.003080104,0.0003,1.0,0.00047597842,3.3085585,60364,4.3121986
1000502,-1.9025576,0.00083241105,0.0020397496,7910.7,0.002275168,0.0003,1.0,0.00036589318,3.670973,60368,-2.813748
1000553,-1.9734356,0.0008302162,0.0028250897,7911.6,0.0027859611,0.0003,1.0,0.00032789496,3.6064224,60372,5.871581
1000619,-1.851337,0.0008310523,0.03619478,7894.8,0.036253035,0.0003,1.0,0.00062115386,3.6834202,60376,1.7846541
1000676,-1.9029582,0.00083137216,0.002994127,7946.6,0.003315009,0.0003,1.0,0.0003010408,3.9457982,60380,-1.3190467
1000729,-1.9236305,0.0008309766,0.004868485,7942.3,0.0048014717,0.0003,1.0,0.00038398744,3.233329,60384,-3.102106
1000778,-1.9523342,0.00082986633,0.008136468,7989.7,0.008315071,0.0003,1.0,0.0004413801,3.652563,60388,-2.650922
1000838,-1.9207896,0.0008268344,0.0047450513,7998.6,0.0043229493,0.0003,1.0,0.0009858105,3.661656,60392,1.0252861
1000891,-2.0151718,0.0008246798,0.003849198,7995.6,0.0036095793,0.0003,1.0,0.00054823706,3.6925013,60396,-2.0318975
1000945,-1.9350634,0.0008208808,0.002310221,8000.6,0.0021403716,0.0003,1.0,0.00028412562,3.6741295,60400,-2.4315553
1001134,-1.940757,0.0008423478,0.0045524584,7635.1,0.004599532,0.0003,0.99,0.00034013562,3.540148,60404,-1.7476581
1001201,-1.8827337,0.00084961497,0.0076647126,7610.9,0.009701902,0.0003,0.99,0.0003652577,3.4186258,60408,4.7906637
1001265,-1.7329718,0.000856459,0.009354242,7596.7,0.008753066,0.0003,0.99,0.001953274,3.797352,60412,2.0907006
1001319,-1.9981704,0.00085774646,0.0049281674,7609.6,0.004135791,0.0003,0.99,0.0008886488,3.761733,60416,-1.2933799
1001403,-1.8664157,0.0008543719,0.0035171648,7553.0,0.0036780487,0.0003,0.99,0.000584961,3.4954147,60420,2.1513906
1001456,-1.9270725,0.000850574,0.0032531833,7547.8,0.0032408433,0.0003,0.99,0.00020555101,3.7719674,60424,0.68397045
1001503,-1.9653693,0.0008511818,0.0023483874,7556.6,0.002755683,0.0003,0.99,0.00023386805,3.6259677,60428,-0.98176455
