epoch,loss,val_loss
0,0.006979163765625592,0.0009196082083508373
1,0.0006659574212828352,0.000521975657902658
2,0.00041337868685972085,0.0003631291261667179
3,0.00029977255128611476,0.00028236915577306516
4,0.00023674336825439958,0.0002326828831185897
5,0.00019442896812113669,0.00019493861945294258
6,0.00016355732417763154,0.00016959061147645116
7,0.0001423115104244286,0.00014893789041606296
8,0.0001270044401265037,0.00013539852247858005
9,0.00011631849060556563,0.000124355949422655
10,0.00010861860102410486,0.00011666552739269617
11,0.00010269043375349914,0.00011042547037100626
12,9.868393090904264e-05,0.00010551809708380865
13,9.514154744892163e-05,0.00010039010945345378
14,9.195167818149828e-05,9.77538068804683e-05
15,8.998831858022e-05,9.48409585786673e-05
16,8.826759528515308e-05,0.00011509925046185445
17,8.511015382181439e-05,9.467798259316219e-05
18,8.517214606938608e-05,8.628443307113938e-05
19,8.143210287039157e-05,8.838109290485995e-05
20,8.113015235766745e-05,8.500814725670757e-05
21,7.849978133935458e-05,8.134646653262382e-05
22,7.743328748656045e-05,7.98283682929145e-05
23,7.74519032846136e-05,7.625967393525773e-05
24,7.492919895154091e-05,7.784786419102198e-05
25,7.30202487421245e-05,7.845169463608827e-05
26,7.167131076265057e-05,8.538977107188354e-05
27,7.33283380898762e-05,7.475936470048812e-05
28,6.885008209522952e-05,7.393705323920586e-05
29,6.85540218438729e-05,6.86091705574654e-05
30,6.775359800631572e-05,6.660393555648624e-05
31,6.54423265824997e-05,6.838009000704107e-05
32,6.637209868108866e-05,6.485029747838983e-05
33,6.383982285811209e-05,7.940763711101479e-05
34,6.446770316185314e-05,8.883770600530423e-05
35,6.316767073269462e-05,6.594041988137179e-05
36,6.0492468468577566e-05,6.056027467517803e-05
37,6.220104238399258e-05,6.232227001520288e-05
38,5.974684247458181e-05,6.15419018948968e-05
39,5.8979063681441785e-05,5.854437066267969e-05
40,5.912399138280846e-05,5.7959003639148755e-05
41,5.7512089429727906e-05,6.019637250574306e-05
42,5.699554757383238e-05,5.75946357275825e-05
43,5.9371614637554704e-05,6.42473557672929e-05
44,5.278900262280252e-05,6.787277434745596e-05
45,5.801467260526907e-05,5.5396039970219134e-05
46,5.309398101720338e-05,5.666059144358668e-05
47,5.214046872649227e-05,5.666176484535552e-05
48,5.3425620555774204e-05,6.384132889151159e-05
49,5.1930770763040834e-05,5.180631051189266e-05
50,5.356156359208219e-05,5.09630547862293e-05
51,4.964353853727426e-05,6.31664224460514e-05
52,5.1848708416973414e-05,5.017704123424159e-05
53,5.470860444072542e-05,4.986049490980804e-05
54,4.622353876820179e-05,4.953808358146085e-05
55,4.896960074633912e-05,4.96664489845797e-05
56,5.013769399446585e-05,5.169195496515992e-05
57,4.775571072385014e-05,4.8445702688897854e-05
58,4.938947640138069e-05,4.8647668655677184e-05
59,4.6743503861548956e-05,4.805857428841086e-05
60,4.8880056703727644e-05,5.142025707755238e-05
61,4.510730500498292e-05,4.918001129731743e-05
62,4.6274784065274245e-05,5.1724396018673564e-05
63,4.849268898891032e-05,5.964978310253678e-05
64,4.3808702146993764e-05,4.7714868625108565e-05
65,4.540992044501673e-05,4.4741880038701414e-05
66,4.6588385292259904e-05,4.8711536785251355e-05
67,4.258736016956032e-05,4.695069811229284e-05
68,4.4438291670191157e-05,5.527155105179797e-05
69,4.437853855456019e-05,4.573656737597452e-05
70,4.371515950576092e-05,4.8407136297707135e-05
71,4.266369081803678e-05,4.5229333498153006e-05
72,4.268329873512913e-05,4.522751505848848e-05
73,4.253028705859856e-05,4.234891158476886e-05
74,4.309528382972205e-05,4.806881298362795e-05
75,4.1308587017816915e-05,4.951696458091545e-05
76,4.190053375629007e-05,4.4352555544012124e-05
77,4.2085524628306795e-05,4.268320220742478e-05
78,4.235080950483852e-05,4.02406278913582e-05
79,3.8292046227092845e-05,4.307618212705064e-05
80,4.123681169908701e-05,3.963565430442233e-05
81,4.015902416237319e-05,3.978500542871188e-05
82,4.014309622343043e-05,4.010454357841001e-05
83,3.814486612639114e-05,5.0276914537082326e-05
84,4.03371291525409e-05,3.827199845949912e-05
