#{"t_start": 1607074036.1581895, "env_id": "gripper-env-v0"}
r,l,t
9812.940356,3,2489.758518
-40000.0,200,2501.523984
-9201.184507,104,2507.632625
-40000.0,200,2518.74167
-40000.0,200,2530.248226
-40000.0,200,2541.294641
-40000.0,200,2552.276816
-40000.0,200,2563.184115
-40000.0,200,2574.745265
-40000.0,200,2585.248766
-40000.0,200,2596.662027
-40000.0,200,2609.029533
-40000.0,200,2620.04285
-40000.0,200,2631.206559
-40000.0,200,2642.341073
-40000.0,200,2653.148593
-40000.0,200,2665.165509
-40000.0,200,2676.008055
-39491.23853,200,2688.940507
-40000.0,200,2700.347867
-40000.0,200,2711.430145
6699.159874,18,2712.554039
-40000.0,200,2723.917522
5102.74452,26,2725.404333
-40000.0,200,2736.521979
-40000.0,200,2747.77242
-40000.0,200,2758.601303
-40000.0,200,2775.107934
-40000.0,200,2787.500125
9814.954723,3,2787.753706
9812.776806,3,2787.991472
-13018.125793,120,2794.613386
-40000.0,200,2891.129493
-40000.0,200,2903.70452
-34703.329254,200,2916.265038
-40000.0,200,2926.774018
-39899.998628,200,2937.9035
-40000.0,200,2948.94281
-40000.0,200,2960.251101
-40000.0,200,2972.385205
-40000.0,200,2985.192102
-39700.137041,200,2997.008829
-39418.253097,200,3011.103949
-40000.0,200,3026.565442
-40000.0,200,3037.250871
-40000.0,200,3048.003008
-40000.0,200,3059.417768
-40000.0,200,3069.943779
-40000.0,200,3081.006548
-40000.0,200,3091.440089
-40000.0,200,3101.686047
-40000.0,200,3112.110568
-40000.0,200,3122.655332
-40000.0,200,3133.601944
-40000.0,200,3144.68342
9900.002691,2,3144.885489
-39700.133927,200,3156.341261
-40000.0,200,3167.351701
-40000.0,200,3179.993363
-40000.0,200,3192.048096
-40000.0,200,3203.57973
-40000.0,200,3214.609646
-39800.049389,200,3225.636246
-40000.0,200,3237.217493
-20100.182792,152,3247.599058
-40000.0,200,3259.113738
-40000.0,200,3269.674814
-40000.0,200,3280.114353
-40000.0,200,3290.923392
-40000.0,200,3301.562564
-40000.0,200,3311.932138
-40000.0,200,3322.313294
-40000.0,200,3332.657546
-40000.0,200,3343.291162
-40000.0,200,3354.254298
-40000.0,200,3366.759861
-40000.0,200,3377.463575
-40000.0,200,3388.048507
-40000.0,200,3398.865972
-40000.0,200,3410.744158
-40000.0,200,3422.113643
-40000.0,200,3433.911238
-40000.0,200,3444.669069
-40000.0,200,3455.517639
-40000.0,200,3467.442353
-40000.0,200,3478.612179
-40000.0,200,3491.22185
-40000.0,200,3503.487059
-40000.0,200,3515.629503
-40000.0,200,3528.082228
-40000.0,200,3539.062606
-40000.0,200,3552.230335
-40000.0,200,3564.408783
-39509.922727,200,3577.403365
-40000.0,200,3588.764154
-35291.930975,200,3603.143222
-40000.0,200,3614.909626
-40000.0,200,3627.461319
-40000.0,200,3638.053285
9814.524463,3,3638.375774
-40000.0,200,3648.907277
-40000.0,200,3660.539642
8107.142323,20,3662.004749
-40000.0,200,3674.053298
-40000.0,200,3686.911053
-40000.0,200,3699.538316
8015.767799,18,3700.803731
-40000.0,200,3711.971773
-40000.0,200,3723.047544
-39900.000477,200,3735.211022
-40000.0,200,3746.515789
-40000.0,200,3758.813963
-39400.931213,200,3772.516219
9814.670519,3,3772.748386
-40000.0,200,3784.188186
-40000.0,200,3794.838362
-12486.279301,116,3801.689086
-40000.0,200,3812.398802
-40000.0,200,3824.081169
